Name of Facebook Group,Group URL,Number of followers (nearest 1000)
Black Belt African American Genealogy Group,"http://www.facebook.com/groups/bbaaghs
",0.0
Black Belt African American Genealogy Group,"http://www.facebook.com/groups/bbaaghs
",0.0
Black Belt African American Genealogy Group,"http://www.facebook.com/groups/bbaaghs
",0.0
Black Belt African American Genealogy Group,"http://www.facebook.com/groups/bbaaghs
",0.0
Black Belt African American Genealogy Group,"http://www.facebook.com/groups/bbaaghs
",0.0
Randolph County Alabama Genealogy Group,"http://www.facebook.com/groups/315212561834248
",0.0
Tallapoosa County Alabama genealogy,"http://www.facebook.com/groups/343946415632536
",0.0
Tallapoosa county Alabama history +genealogy,"http://www.facebook.com/groups/1403391789954058
",0.0
"Tuscaloosa Genealogical Society, Inc.","http://www.facebook.com/groups/tuscaloosagen
",0.0
Alaska Genealogy! Just Ask!,"http://www.facebook.com/groups/AlaskaGenealogyJustAsk
",0.0
Alaska Heritage: Sharing the Old Stories,"http://www.facebook.com/groups/944209552257885
",10500.0
Alaska history and you,"http://www.facebook.com/groups/271969672816090
",13600.0
Alaska History,"http://www.facebook.com/groups/174654882619057
",4900.0
Alaskan and Yukon Railroad History,"http://www.facebook.com/groups/362325783796270
",0.0
Black Belt African American Genealogy Group,"http://www.facebook.com/groups/bbaaghs
",0.0
Black Belt African American Genealogy Group,"http://www.facebook.com/groups/bbaaghs
",0.0
Shishmaref Geneology,"http://www.facebook.com/groups/567435493328432
",1300.0
Arizona Genealogy! Just Ask!,"http://www.facebook.com/groups/ArizonaGenealogyJustAsk
",0.0
Arizona Genealogy Network,"http://www.facebook.com/groups/120458768038612
",0.0
You're definitely from Bisbee when...,"http://www.facebook.com/groups/BisbeeArizona
",4500.0
You know you grew up in Douglas if..,"http://www.facebook.com/groups/235014439870775
",4300.0
"Flagstaff/Coconino County, Arizona History Page","http://www.facebook.com/groups/235581723209545
",4000.0
Explorers of the Southwest,"http://www.facebook.com/groups/1676770169300592
",3700.0
Growing up in Hayden/Winkelman,"http://www.facebook.com/groups/739170612839070
",1300.0
Phoenix East Valley DNA Special Interest Group,"http://www.facebook.com/groups/1843019202663932
",0.0
